text,likes,platform,num_palabras
جميل كون بنجهز للسفر يعطيكم العافيه .. مو فاهمة النقطه التانية ؟,1.0,Instagram,12
😍😍😍,1.0,Instagram,1
فخمم اخوي ❤️,1.0,Instagram,3
❤️❤️ الحفلا ناررر يا حبيبنا ❤️🔥👏,1.0,Instagram,6
هاي حبيبة قلب اختها 🥺,1.0,Instagram,5
Ya habibit albi ❤️,1.0,Instagram,4
Ohh disini toh.. Cinta mulai bersemi😍,1.0,Instagram,6
شون خطأ😻😻😻🔥,1.0,Instagram,2
ما شاء الله منور,1.0,Instagram,4
ارييج ❤️❤️❤️,1.0,Instagram,2
Youuu!,1.0,Instagram,1
👏👏👏👏,1.0,Instagram,1
الله يبشرك بالخير دكتورة عرين 🌹,2.0,Instagram,6
مشكلة,1.0,Instagram,1
❤️❤️,1.0,Instagram,1
بوركت يداكي❤️,1.0,Instagram,2
Enjoy this beautiful feeling 😍,1.0,Instagram,5
This is exactly what I am talking about it سبحان الله,1.0,Instagram,11
gf,1.0,Instagram,1
Wowwww. These are super beautiful. I hope the quality is as good as the pictures.,2.0,Instagram,15
🤲🤲🤲🤲,1.0,Instagram,1
🔥🔥,1.0,Instagram,1
God bless you both. May the good lord guide you and keep you!,1.0,Instagram,13
ممكن سؤال او سمحت، اديش المدة الزمنية يلي لازم نضل عم نحاول فيها قبل ما نتصل بالاسعاف (كم دقيقة)  @phareen00؟,0.0,Instagram,20
Que sitios tan  idílicos 👏👏👏👏.,1.0,Instagram,5
omg i love this!!!!,1.0,Instagram,4
Toch nog al je klachten kwijt gekund tim😂,1.0,Instagram,8
❤️❤️❤️😢,1.0,Instagram,1
Chega logo 2025 🇮🇱 🇮🇱,3.0,Instagram,5
Yessss👏👏👏 that’s what I keep telling my kids,1.0,Instagram,8
Only fear and anxiety grows there,1.0,Instagram,6
كتاب جدد حياتي والان بقرأ عزازيل 😍,1.0,Instagram,7
😍😍😍,1.0,Instagram,1
❤️❤️❤️❤️❤️,1.0,Instagram,1
Beautiful pics 👏,1.0,Instagram,3
❤️❤️❤️❤️❤️❤️❤️❤️❤️,1.0,Instagram,1
ما شاء الله😍,1.0,Instagram,3
😍😍😍😍,1.0,Instagram,1
Wow that's beautiful 🔥,1.0,Instagram,4
The view at the end of the world 😏,1.0,Instagram,9
🔥👏,1.0,Instagram,1
Che bella! Si vedono tutti i cratere!😍,1.0,Instagram,7
منورين,1.0,Instagram,1
Habibiiiiiii😍,1.0,Instagram,1
اخذت الصيني الجرعة الاولى لاحظت اول يوم ألم باليد مكان اللقاح. وتاني يوم لمدة اربع وعشرين ساعة الم بالحلق ووجع رأس ووجع خفيف بالصدر واليوم الي بعده كل شي اختفى الحمد لله,2.0,Instagram,32
"Yes, remember why they were punished and judge, lest you forget!! It’s happening again, yet the masses forgot.",2116.0,Instagram,18
"My head swell.. God has blessed you richly Dr.Little,thst you can save lives....thank you for your expertise , hard work and humility.🙌🙌",1.0,Instagram,22
